Item_ID	Sentence	NP	RC	MatSubj	MatV	Det	HeadNoun	HeadSpecificity	Matrix Clause Structure	Adjacency	Type of Antecedent	Relativizer	RCSubj	RCSubjType	RClength	Comments	Speaker_ID	Speaker_sex	Speaker_birthdate	Speaker_Age	Speaker_dialect	Speaker_education	Speaker_payment	TURNinCONV	TOPinCONV	Speaker_AB	Conversation_ID	Conversation_topic_ID	Conversation_topic	Conversation_transcription-difficulty	Conversation_topic-variability	Conversation_naturalness
66997:30	"but, uh, i guess 0 the bicycling is the one thing 0 i'll sort of, like, do *t*-1 if i feel like i need *-2 to go *-3 exercise."	"the one thing 0 i'll sort of, like, do *t*-1 if i feel like i need *-2 to go *-3 exercise"	"0 i'll sort of, like, do *t*-1 if i feel like i need *-2 to go *-3 exercise"	the bicycling	is	the	thing	empty	copula	adjacent	definite	0	i	1pro	14		1091	" ""FEMALE"""	1942	48	" ""SOUTH MIDLAND"""	1	" ""GIFT"""	133	234	B	2729	351	PETS	1	2	2
67681:11	"and that was the thing 0 i couldn't figure *t*-1 out because he would go in the lake,"	the thing 0 i couldn't figure *t*-1 out because he would go in the lake	0 i couldn't figure *t*-1 out because he would go in the lake	that	was	the	thing	empty	copula	adjacent	definite	0	i	1pro	4		1045	" ""FEMALE"""	1969	21	" ""WESTERN"""	2	" ""CASH"""	34	75	B	2749	341	TRIAL BY JURY	1	2	2
67756:32	"what's the, unrequir-, what's the word 0 i'm looking for *t*-1 *t*-2, uh,"	the word 0 i'm looking for *t*-1	0 i'm looking for *t*-1	what	is	the	word	nonempty	copula	adjacent	definite	0	i	1pro	3		1110	" ""MALE"""	1961	29	" ""WESTERN"""	3	" ""CASH"""	59	127	A	2749	341	TRIAL BY JURY	1	2	2
68215:6	well the last thing 0 i bought *t*-1 was a dress last summer.	the last thing 0 i bought *t*-1	0 i bought *t*-1	the last thing 0 i bought *t*-1	was	the	thing	empty	copula	adjacent	unique	0	i	1pro	2		1233	" ""FEMALE"""	1931	59	" ""NEW ENGLAND"""	3	" ""CASH"""	164	242	B	2756	310	VACATION SPOTS	2	1	1
70112:3	the whole lot 0 i'm sitting on *t*-1 is roughly half an acre.	the whole lot 0 i'm sitting on *t*-1	0 i'm sitting on *t*-1	the whole lot 0 i'm sitting on *t*-1	is	the	lot	nonempty	copula	adjacent	definite	0	i	1pro	3		1257	" ""MALE"""	1933	57	" ""NYC"""	3	" ""CASH"""	23	49	A	2784	340	TAXES	2	1	1
70178:10	most of the neighborhood 0 i'm in *t*-1 is pretty typical.	the neighborhood 0 i'm in *t*-1	0 i'm in *t*-1	most of the neighborhood 0 i'm in *t*-1	is	the	neighborhood	nonempty	copula	adjacent	definite	0	i	1pro	2		1257	" ""MALE"""	1933	57	" ""NYC"""	3	" ""CASH"""	43	95	A	2784	340	TAXES	2	1	1
70273:12	that's just something 0 i'll never adapt to *t*-1.	something 0 i'll never adapt to *t*-1	0 i'll never adapt to *t*-1	that	is	something	something	empty	copula	adjacent	pronoun	0	i	1pro	4		1257	" ""MALE"""	1933	57	" ""NYC"""	3	" ""CASH"""	73	160	A	2784	340	TAXES	2	1	1
70373:31	"the only thing that *t*-1 saves it, with the schedule 0 i work *t*-2 and the schedule 0 my wife works *t*-3, we're getting ready *-4 to go to work at totally different times. so that. it's not like we're tripping over each other in the morning."	the schedule 0 i work *t*-2	0 i work *t*-2	it	saves	the	schedule	nonempty	copula	adjacent	definite	0	i	1pro	2		1072	" ""FEMALE"""	1941	49	" ""SOUTH MIDLAND"""	2	" ""CASH"""	18	32	B	2785	361	GARDENING	2	2	2
72337:12	see that's the other problem 0 i have *t*-1.	the other problem 0 i have *t*-1	0 i have *t*-1	that	is	the	problem	nonempty	copula	adjacent	definite	0	i	1pro	2		1085	" ""MALE"""	1947	43	" ""SOUTH MIDLAND"""	3	" ""GIFT"""	28	34	B	2818	323	CHILD CARE	3	3	1
73493:29	"that's just, that's one thing 0 i see, i see *t*-1 a lot more, you know, double income families and a lot more like baby sitters raising the kids and things like that, i guess 0 *t*-2."	"one thing 0 i see, i see *t*-1 a lot more, you know, double income families and a lot more like baby sitters raising the kids and things like that"	"0 i see, i see *t*-1 a lot more, you know, "	that	is	one	thing	empty	copula	adjacent	indefinite	0	i	1pro	9	"Counted repeated words in RC length.  ""That's"" makes is a copula, not a lone head"	1132	" ""FEMALE"""	1942	48	" ""SOUTH MIDLAND"""	3	" ""CASH"""	16	21	A	2828	353	PUBLIC EDUCATION	1	1	1
74360:8	"well, another thing 0 i think 0 *t*-1 would be helpful would be * to have some sort of, of say a national curriculum. because one of the problems with * getting good textbooks is that we have such a fragmented system for, uh, curriculums that the textbook makers produce a textbook that *t*-2 will sell in texas and california."	another thing 0 i think 0 *t*-1 would be helpful	0 i think 0 *t*-1 would be helpful	another thing 0 i think 0 *t*-1 would be helpful	is	another	thing	empty	copula	adjacent	pronoun	0	i	1pro	5		1132	" ""FEMALE"""	1942	48	" ""SOUTH MIDLAND"""	3	" ""CASH"""	51	76	A	2835	334	SOCIAL CHANGE	2	4	2
75526:49	"they've been released *-1, you know, several times, which *t*-2 is another, uh, deal 0 i hate *-3 to see *t*-4."	"another, uh, deal 0 i hate *-3 to see *t*-4"	0 i hate *-3 to see *t*-4	They've been released several times	is	another	deal	nonempty	copula	adjacent	indefinite	0	i	1pro	4	"counted ""uh"" as nonadjacent"	1073	" ""MALE"""	1967	23	" ""NORTHERN"""	3	" ""CASH"""	42	57	B	2840	353	PUBLIC EDUCATION	1	1	1
75796:70	"for instance, one thing that i did *t*-1 that *t*-2 might even be a good suggestion for you uh, was something 0 i did *t*-3 on the outside."	something 0 i did *t*-3 on the outside	0 i did *t*-3 on the outside	one thing that i did *t*-1 that *t*-2 might even be a good suggestion for you	did	something	something	empty	copula	adjacent	pronoun	0	i	1pro	5		1171	" ""MALE"""	1956	34	" ""SOUTH MIDLAND"""	2	" ""GIFT"""	16	27	B	2851	364	HOBBIES AND CRAFTS	3	4	2
76689:8	"well, the sport 0 i like *t*-1 best probably is basketball."	the sport 0 i like *t*-1 best	0 i like *t*-1 best	the sport 0 i like *t*-1 best	is	the	sport	nonempty	copula	adjacent	definite	0	i	1pro	3		1105	" ""FEMALE"""	1944	46	" ""NYC"""	3	" ""CASH"""	64	110	A	2860	358	FAMILY LIFE	2	1	1
76708:12	"that's usually the team 0 i play on *t*-1 with the tournaments and stuff,"	the team 0 i play on *t*-1 with the tournaments and stuff	0 i play on *t*-1 with the tournaments and stuff	that	is	the	team	nonempty	copula	adjacent	definite	0	i	1pro	8		1105	" ""FEMALE"""	1944	46	" ""NYC"""	3	" ""CASH"""	70	123	A	2860	358	FAMILY LIFE	2	1	1
78064:12	now there's a place 0 i'd like *-2 to visit *t*-1.	a place 0 i'd like *-2 to visit *t*-1	0 i'd like *-2 to visit *t*-1	there	is	a	place	empty	copula	adjacent	indefinite	0	i	1pro	4	"This could arguably be something else, but I'm not sure.  I think the most natural reading is with stress on ""there"", making it locative.  If I'm right, it's not existential, but copula."	1231	" ""FEMALE"""	1956	34	" ""MIXED"""	3	" ""CASH"""	126	213	B	2870	355	ELECTIONS AND VOTING	2	3	2
80779:12	"well that's another one 0 i read *t*-1,"	another one 0 i read *t*-1	0 i read *t*-1	that	is	another	one	empty	copula	adjacent	pronoun	0	i	1pro	2		1085	" ""MALE"""	1947	43	" ""SOUTH MIDLAND"""	3	" ""GIFT"""	13	58	B	2932	343	HOUSES	1	1	3
81123:19	"i was just thinking 0 another good one 0 i saw *t*-1 not too long ago was, um, * sleeping with the enemy."	another good one 0 i saw *t*-1 not too long ago	0 i saw *t*-1 not too long ago	another good one 0 i saw *t*-1 not too long ago	was	another	one	empty	copula	adjacent	pronoun	0	i	1pro	6		1259	" ""FEMALE"""	1963	27	" ""SOUTH MIDLAND"""	2	" ""CASH"""	72	123	B	2938	302	AIR POLLUTION	2	3	1
81254:20	it was a different movie from anything 0 i've ever seen *t*-1.	anything 0 i've ever seen *t*-1	0 i've ever seen *t*-1	it	was	anything	anything	empty	copula	adjacent	pronoun	0	i	1pro	3		1236	" ""FEMALE"""	1965	25	" ""SOUTH MIDLAND"""	2	" ""CASH"""	117	210	A	2938	302	AIR POLLUTION	2	3	1
81881:25	"i was walking home from, uh, the college 0 i was going to *t*-1 in kentucky."	the college 0 i was going to *t*-1 in kentucky	0 i was going to *t*-1	i	was	the	college	nonempty	copula	adjacent	definite	0	i	1pro	4		1100	" ""FEMALE"""	1962	28	" ""NORTH MIDLAND"""	3	" ""9"""	142	251	A	2945	358	FAMILY LIFE	2	3	2
82115:8	"well, one thing 0 i miss *t*-1 is, uh, is 0 the people from texas, are, are, you know,"	one thing 0 i miss *t*-1	0 i miss *t*-1	one thing 0 i miss *t*-1	is	one	thing	empty	copula	adjacent	indefinite	0	i	1pro	2		1257	" ""MALE"""	1933	57	" ""NYC"""	3	" ""CASH"""	69	95	A	2956	355	ELECTIONS AND VOTING	2	1	1
84832:9	"this is a very interesting program 0 i, i heard about *t*-1 here on this,"	"a very interesting program 0 i, i heard about *t*-1 here on this"	"0 i, i heard about *t*-1 here on this"	this	is	a	program	nonempty	copula	adjacent	indefinite	0	i	1pro	7	Counted repeated words in RC length	1229	" ""FEMALE"""	1950	40	" ""NORTHERN"""	3	" ""CASH"""	19	32	A	3012	315	MIDDLE EAST	3	2	2
86107:3	"the only thing 0 i didn't like *t*-1 was 0 in some of the more touristy areas uh, um, the, it would just be besieged *-2 by people wanting * to be your guide"	the only thing 0 i didn't like *t*-1	0 i didn't like *t*-1	the only thing 0 i didn't like *t*-1	was	the	thing	empty	copula	adjacent	unique	0	i	1pro	3		1257	" ""MALE"""	1933	57	" ""NYC"""	3	" ""CASH"""	35	61	A	3023	312	CRIME	4	1	1
86862:50	"well that's, that's, that's the impression 0 i get *t*-1, you know."	the impression 0 i get *t*-1	0 i get *t*-1	that	is	the	impression	nonempty	copula	adjacent	definite	0	i	1pro	2		1279	" ""MALE"""	1935	55	" ""SOUTH MIDLAND"""	2	" ""CASH"""	3	10	A	3040	340	TAXES	2	2	2
87687:43	"but all the various taxing authorities that *t*-1 come through, i think 0 the one tax 0 i resent *t*-4 the most though is the additional sales tax for dart which *t*-2 is probably never going *-3 to be in existence in my lifetime."	the one tax 0 i resent *t*-4 the most though	0 i resent *t*-4 the most though	the one tax 0 i resent *t*-4 the most though	is	the	tax	nonempty	copula	adjacent	definite	0	i	1pro	5		1292	" ""FEMALE"""	1942	48	" ""NORTH MIDLAND"""	3	" ""CASH"""	89	139	A	3045	325	COMPUTERS	1	1	1
87802:17	"well, see that's something 0 i want *-1 to see *t*-2,"	something 0 i want *-1 to see *t*-2	0 i want *-1 to see *t*-2	that		something	something	empty	copula	adjacent	pronoun	0	i	1pro	4		1292	" ""FEMALE"""	1942	48	" ""NORTH MIDLAND"""	3	" ""CASH"""	137	206	A	3045	325	COMPUTERS	1	1	1
87811:65	"but it was, i mean it was, it was cute but not the biggest laugh 0 i've seen *t*-1."	the biggest laugh 0 i've seen *t*-1	0 i've seen *t*-1	it	was	the	laugh	nonempty	copula	adjacent	unique	0	i	1pro	2		1280	" ""FEMALE"""	1958	32	" ""NYC"""	3	" ""CASH"""	140	210	B	3045	325	COMPUTERS	1	1	1
87951:12	"that's probably the last movie 0 i saw *t*-1. um, dances with wolves,"	the last movie 0 i saw *t*-1	0 i saw *t*-1	that	is	the	movie	nonempty	copula	adjacent	unique	0	i	1pro	2		1171	" ""MALE"""	1956	34	" ""SOUTH MIDLAND"""	2	" ""GIFT"""	56	73	A	3047	324	CHOOSING A COLLEGE	3	2	2
88135:74	"um, i rented a good movie, um, called * cinema paradeso which *t*-1 is an italian movie which *t*-3 is probably the best movie 0 i've seen *t*-2 ever."	the best movie 0 i've seen *t*-2 ever	0 i've seen *t*-2 ever	*t*-3	is	the	movie	nonempty	copula	adjacent	unique	0	i	1pro	3	"This could be considered copula, but I don't think the copula is part of the matrix sentence. "	1171	" ""MALE"""	1956	34	" ""SOUTH MIDLAND"""	2	" ""GIFT"""	138	176	A	3047	324	CHOOSING A COLLEGE	3	2	2
89017:9	"that's one 0 i can watch *t*-1, over and over and over again."	"one 0 i can watch *t*-1, over and over and over again"	"0 i can watch *t*-1, over and over and over again"	that	is	one	one	empty	copula	adjacent	indefinite	0	i	1pro	9		1285	" ""FEMALE"""	1939	51	" ""MIXED"""	2	" ""CASH"""	56	104	A	3052	305	CARE OF THE ELDERLY	2	1	1
89998:15	and i think 0 the last one 0 i read *t*-1 like that was scott thurow's	the last one 0 i read *t*-1 like that	0 i read *t*-1 like that	the last one 0 i read *t*-1 like that	was	the	one	empty	copula	adjacent	unique	0	i	1pro	4		1278	" ""MALE"""	1956	34	" ""SOUTHERN"""	0	" ""GIFT"""	93	182	B	3067	331	FAMILY REUNIONS	3	1	1
90290:37	"and this is, this to me is the benefit 0 i see *t*-3 in public schools is that, that, uh, you do have government money 0 *t*-2 to fund, the kinds of programs that these students need *t*-1,"	the benefit 0 i see *t*-3 in public schools	0 i see *t*-3 in public schools	this	is	the	benefit	nonempty	copula	adjacent	definite	0	i	1pro	5		1270	" ""MALE"""	1965	25	" ""MIXED"""	3	" ""GIFT"""	96	171	B	3068	324	CHOOSING A COLLEGE	2	2	1
91118:15	"the, the last book 0 i picked *t*-1 up was a book by judy bloom,"	the last book 0 i picked *t*-1 up	0 i picked *t*-1 up	the last book 0 i picked *t*-1 up	was	the	book	nonempty	copula	adjacent	unique	0	i	1pro	3		1284	" ""MALE"""	1968	22	" ""SOUTH MIDLAND"""	2	" ""CASH"""	110	181	A	3070	331	FAMILY REUNIONS	3	1	1
91228:11	"but that's the last thing 0 i, i've read *t*-1,"	"the last thing 0 i, i've read *t*-1"	"0 i, i've read *t*-1"	that	is	the	thing	empty	copula	adjacent	unique	0	i	1pro	3	Counted repeated words in RC length	1284	" ""MALE"""	1968	22	" ""SOUTH MIDLAND"""	2	" ""CASH"""	36	52	A	3072	310	VACATION SPOTS	2	1	1
92359:16	l a law is about the heaviest thing 0 i watch *t*-1.	the heaviest thing 0 i watch *t*-1	0 i watch *t*-1	L.A. Law	is	the	thing	empty	copula	adjacent	unique	0	i	1pro	2		1266	" ""FEMALE"""	1947	43	" ""NYC"""	3	" ""CASH"""	30	44	A	3075	310	VACATION SPOTS	1	1	1
92575:9	that's something 0 i didn't think that we'd ever do *t*-1.	something 0 i didn't think that we'd ever do *t*-1	0 i didn't think that we'd ever do *t*-1	that	is	something	something	empty	copula	adjacent	pronoun	0	i	1pro	7		1298	" ""FEMALE"""	1941	49	" ""NORTHERN"""	1	" ""CASH"""	109	181	B	3075	310	VACATION SPOTS	1	1	1
94880:13	"but, that's the only bad experience 0 i had *t*-1,"	the only bad experience 0 i had *t*-1	0 i had *t*-1	that	was	the	experience	nonempty	copula	adjacent	unique	0	i	1pro	2		1292	" ""FEMALE"""	1942	48	" ""NORTH MIDLAND"""	3	" ""CASH"""	43	60	A	3090	357	FAMILY FINANCE	2	1	1
95172:5	and the d base work 0 i've done *t*-1 was strictly class related.	the d base work 0 i've done *t*-1	0 i've done *t*-1	the d base work 0 i've done *t*-1	was	the	work	nonempty	copula	adjacent	definite	0	i	1pro	2		1239	" ""MALE"""	1936	54	" ""SOUTH MIDLAND"""	3	" ""CASH"""	166	231	B	3090	357	FAMILY FINANCE	2	1	1
97608:139	"uh, for instance, uh, well, you know, i am just not taken *-1 as seriously *ich*-4, you know, at professions, as many of the wom-, as many of the men who *t*-3 are doing the same job 0 i do *t*-2."	the same job 0 i do *t*-2	0 i do *t*-2	I	am	the	job	nonempty	copula	adjacent	definite	0	i	1pro	2		1288	" ""MALE"""	1946	44	" ""NORTH MIDLAND"""	3	" ""CASH"""	76	115	A	3111	312	CRIME	2	3	2
98066:56	"i think 0 you, it's, uh, it's something 0 i think 0 you would enjoy *t*-1,"	something 0 i think 0 you would enjoy *t*-1	0 i think 0 you would enjoy *t*-1	it	is	something	something	empty	copula	adjacent	pronoun	0	i	1pro	5		1285	" ""FEMALE"""	1939	51	" ""MIXED"""	2	" ""CASH"""	55	92	A	3115	303	CLOTHING AND DRESS	3	2	2
98568:3	"the only thing 0 i worry about *t*-1 sometimes is if, if you get somebody *ich*-5 *ich*-6 in there that, that *t*-2 has a name, that *t*-3 is the defendant and, you know, sometimes, might have more pull, which *t*-4 that does happen."	the only thing 0 i worry about *t*-1 sometimes	0 i worry about *t*-1 sometimes	the only thing 0 i worry about *t*-1 sometimes	is	the	thing	empty	copula	adjacent	unique	0	i	1pro	4		1035	" ""FEMALE"""	1953	37	" ""NORTH MIDLAND"""	2	" ""GIFT"""	32	67	B	3124	313	WEATHER CLIMATE	3	4	3
99157:9	"that was the one and only thing 0 i could really afford *t*-1 other than a jun-, you know, a junior college, which i didn't want *-2 to do *t*-3."	"the one and only thing 0 i could really afford *t*-1 other than a jun-, you know, a junior college, which i didn't want *-2 to do *t*-3"	0 i could really afford *t*-1	that	was	the	thing	empty	copula	adjacent	unique	0	i	1pro	4		1320	" ""FEMALE"""	1962	28	" ""MIXED"""	1	" ""CASH"""	144	213	B	3130	335	RECYCLING	1	1	1
99403:37	"lake, i think 0 lake whitmore is the only one 0 i have real memories of *t*-1. which *t*-2 is,"	the only one 0 i have real memories of *t*-1	0 i have real memories of *t*-1	lake whitmore	is	the	one	empty	copula	adjacent	unique	0	i	1pro	5		1035	" ""FEMALE"""	1953	37	" ""NORTH MIDLAND"""	2	" ""GIFT"""	76	135	B	3131	305	CARE OF THE ELDERLY	1	1	1
99409:11	but that's the only one 0 i probably could name *t*-1 after all these years	the only one 0 i probably could name *t*-1 after all these years	0 i probably could name *t*-1 after all these years	that	is	the	one	empty	copula	adjacent	unique	0	i	1pro	8		1035	" ""FEMALE"""	1953	37	" ""NORTH MIDLAND"""	2	" ""GIFT"""	78	140	B	3131	305	CARE OF THE ELDERLY	1	1	1
169469:79	"well, i mean, there's, there's a reasonable question as to whether it's worth the amount of time 0 it takes *t*-1 * to keep up on things."	time 0 it takes *t*-1 * to keep up on things	0 it takes *t*-1 * to keep up on things	there	is	time	time	empty	copula	adjacent	definite	0	it	3pro	7	This could possibly be copula.  I think it is; the existential clause doesn't contain the RC.	1437	" ""FEMALE"""	1941	49	" ""NORTHERN"""	2	" ""CASH"""	7	16	A	4682	366	CONSUMER GOODS	1	1	1
175850:22	"like i was thinking that maybe the most important effect 0 it had *t*-1 was * to make it *exp*-2, uh, possible and even popular * to, uh, criticize the government."	the most important effect 0 it had *t*-1	0 it had *t*-1	the most important effect 0 it had *t*-1	was	the	effect	nonempty	copula	adjacent	unique	0	it	3pro	2		1662	" ""MALE"""	1959	31	" ""WESTERN"""	2	" ""CASH"""	94	120	B	4936	370	WOODWORKING	2	1	1
26344:33	"and it's uh, it's everything 0 it's supposed *-1 to be *t*-2."	everything 0 it's supposed *-1 to be *t*-2	0 it's supposed *-1 to be *t*-2	it	is	everything	everything	empty	copula	adjacent	pronoun	0	it	3pro	4		1141	" ""MALE"""	1962	28	" ""MIXED"""	3	" ""CASH"""	9	14	A	2362	353	PUBLIC EDUCATION	2	2	2
11793:160	"i mean, while it *exp*-1's certainly the case that things like automobiles and factories, uh, pollute a lot, uh, if you look at how much pollution *t*-2 is say kicked *-3 up by an active volcano, uh, it *exp*-4's certainly less than clear that anything 0 man can do *t*-5 in this sort of scale of things has much effect at all."	anything 0 man can do *t*-5 in this sort of scale of things	0 man can do *t*-5 in this sort of scale of things	anything 0 man can do *t*-5 in this sort of scale of things	has	anything	anything	empty	copula	adjacent	pronoun	0	man	other	3		1169	" ""MALE"""	1961	29	" ""NORTH MIDLAND"""	2	" ""CASH"""	19	31	B	2120	329	WOMEN'S ROLES	1	1	1
137264:34	"when they do go out *t*-1, it's either something 0 my husband can buy the part and fix *t*-2"	something 0 my husband can buy the part and fix *t*-2	0 my husband can buy the part and fix *t*-2	it	is	something	something	empty	copula	adjacent	pronoun	0	my husband	other	8		1262	" ""MALE"""	1963	27	" ""SOUTHERN"""	2	" ""NONE"""	41	70	B	3660	354	DRUG TESTING	4	2	3
53002:10	"that's one thing 0 my husband wanted *-1 to do *t*-2, was, on this summer's vacation was * to go and camp wherever we went *t*-3."	"one thing 0 my husband wanted *-1 to do *t*-2, was, on this summer's vacation"	"0 my husband wanted *-1 to do *t*-2, was, on this summer's vacation"	That	was	one	thing	empty	copula	adjacent	indefinite	0	my husband	other	5		1122	" ""MALE"""	1964	26	" ""SOUTH MIDLAND"""	9	" ""GIFT"""	4	5	B	2589	353	PUBLIC EDUCATION	1	2	1
131813:13	"and, that's something 0 my stepfather never could teach me *t*-1, you know, * just to relax and hit the ball,"	something 0 my stepfather never could teach me *t*-1	0 my stepfather never could teach me *t*-1	that	is	something	something	empty	copula	adjacent	pronoun	0	my stepfather	other	6		1400	" ""FEMALE"""	1942	48	" ""MIXED"""	2	" ""CASH"""	35	64	A	3551	353	PUBLIC EDUCATION	1	1	1
70373:53	"the only thing that *t*-1 saves it, with the schedule 0 i work *t*-2 and the schedule 0 my wife works *t*-3, we're getting ready *-4 to go to work at totally different times. so that. it's not like we're tripping over each other in the morning."	the schedule 0 my wife works *t*-3	0 my wife works *t*-3	it	saves	the	schedule	nonempty	copula	adjacent	definite	0	my wife	other	2		1072	" ""FEMALE"""	1941	49	" ""SOUTH MIDLAND"""	2	" ""CASH"""	18	32	B	2785	361	GARDENING	2	2	2
37823:25	"well and, uh, you know, one thing 0 my wife and i've talked about *t*-1, i-, are, uh, private schools."	one thing 0 my wife and i've talked about *t*-1	0 my wife and i've talked about *t*-1	one thing 0 my wife and i've talked about *t*-1	know	one	thing	empty	copula	adjacent	indefinite	0	my wife and i	other	6		1090	" ""MALE"""	1964	26	" ""NORTH MIDLAND"""	2	" ""GIFT"""	155	304	A	2465	325	COMPUTERS	3	2	2
106112:46	"and her, the rest of her family and her regular doctors and everybody 0 she trusted *t*-1 and knew *t*-1 was in dayton, and were several thousand miles away"	everybody 0 she trusted *t*-1 and knew *t*-1	0 she trusted *t*-1 and knew *t*-1	the rest of her family and her regular doctors and everybody 0 she trusted *t*-1 and knew *t*-1	was	everybody	everybody	empty	copula	adjacent	pronoun	0	she	3pro	4		1011	" ""FEMALE"""	1964	26	" ""SOUTH MIDLAND"""	2	" ""GIFT"""	28	35	B	3201	335	RECYCLING	1	1	1
111709:58	and i was just seeing in the newspaper or the grocery store that some miss america was abused *-1 by the man 0 she loved *t*-2	the man 0 she loved *t*-2	0 she loved *t*-2	some miss america	was	the	man	nonempty	copula	adjacent	definite	0	she	3pro	2		1373	" ""FEMALE"""	1970	20	" ""SOUTH MIDLAND"""	2	" ""CASH"""	86	131	B	3266	323	CHILD CARE	1	1	1
162029:7	"and, the problem 0 she had *t*-1 was not with the inmates at all."	the problem 0 she had *t*-1	0 she had *t*-1	the problem 0 she had *t*-1	was	the	problem	nonempty	copula	adjacent	definite	0	she	3pro	2		1661	" ""MALE"""	1956	34	" ""SOUTH MIDLAND"""	2	" ""CASH"""	2	6	B	4336	312	CRIME	3	3	3
29755:24	so it's got *-1 to be something 0 she can do *t*-2 fairly easily and fairly quickly.	something 0 she can do *t*-2 fairly easily and fairly quickly	0 she can do *t*-2 fairly easily and fairly quickly	it	be	something	something	empty	copula	adjacent	pronoun	0	she	3pro	8		1096	" ""FEMALE"""	1963	27	" ""SOUTH MIDLAND"""	2	" ""GIFT"""	32	50	B	2405	325	COMPUTERS	2	1	1
87908:33	"it, it was a film of her concert, um, tour 0 she had taken *t*-1 through all, all around the world."	"her concert, um, tour 0 she had taken *t*-1 through all, all around the world"	"0 she had taken *t*-1 all, all throughout the world. "	it	was	her	tour	nonempty	copula	adjacent	definite	0	she	3pro	9	Counted reduplicated words in RC Length	1171	" ""MALE"""	1956	34	" ""SOUTH MIDLAND"""	2	" ""GIFT"""	38	48	A	3047	324	CHOOSING A COLLEGE	3	2	2
156805:24	"but a lot of it's because everything 0 society wants *t*-1, we are supposed *-2 to do *t*-3."	everything 0 society wants *t*-1	0 society wants *t*-1	we	are	everything	everything	empty	copula	adjacent	pronoun	0	society	other	2		1478	" ""MALE"""	1945	45	" ""SOUTHERN"""	3	" ""CASH"""	44	55	B	4154	315	MIDDLE EAST	1	1	1
110814:28	what child *t*-1's going *-2 to say something 0 some parent's going *-3 to overreact to *t*-4	something 0 some parent's going *-3 to overreact to *t*-4	0 some parent's going *-3 to overreact to *t*-4	what child	is	something	something	empty	copula	adjacent	pronoun	0	some parent	other	6		1377	" ""FEMALE"""	1941	49	" ""NORTHERN"""	2	" ""CASH"""	34	49	B	3256	322	CAPITAL PUNISHMENT	2	3	1
31894:8	is that the stuff 0 that koala bears eat *t*-1 in australia or something?	the stuff 0 that koala bears eat *t*-1 in australia or something	0 that koala bears eat *t*-1 in australia or something	that	is	the	stuff	empty	copula	adjacent	definite	0	that koala bears	other	8		1133	" ""MALE"""	1935	55	" ""SOUTH MIDLAND"""	2	" ""GIFT"""	157	194	A	2427	361	GARDENING	4	1	2
18394:5	"and the first thing 0 the, the old guy there at the stand asked *t*-3 is what part of town we lived in *t*-2 because he said, uh, i've got, i've got a dozen different varieties"	"the first thing 0 the, the old guy there at the stand asked *t*-3"	"0 the, the old guy there at the stand asked *t*-3"	"the first thing 0 the, the old guy there at the stand asked *t*-3"	is	the	thing	empty	copula	adjacent	unique	0	the old guy there at the stand	other	9		1135	" ""FEMALE"""	1963	27	" ""SOUTH MIDLAND"""	2	" ""GIFT"""	32	56	B	2249	335	RECYCLING	2	2	2
110447:82	"if it, if it's if it was true there, i'm sure it's true with just about probably to some degree every school 0 there is *t*-1"	just about probably to some degree every school 0 there is *t*-1	0 there is *t*-1	it	was	just about probably to some degree every	school	nonempty	copula	adjacent	pronoun	0	there	3pro	2		1334	" ""FEMALE"""	1963	27	" ""NEW ENGLAND"""	3	" ""CASH"""	43	92	B	3252	351	PETS	1	1	1
136694:21	"i mean, their friends are the most important thing 0 there is *t*-1."	the most important thing 0 there is *t*-1	0 there is *t*-1	their friends	are	the	thing	empty	copula	adjacent	unique	0	there	3pro	2		1474	" ""MALE"""	1951	39	" ""NORTHERN"""	3	" ""CASH"""	34	59	B	3651	370	WOODWORKING	2	1	2
69220:14	and that's probably the biggest problem 0 there is *t*-1.	the biggest problem 0 there is *t*-1	0 there is *t*-1	that	is	the	problem	nonempty	copula	adjacent	unique	0	there	3pro	2		1068	" ""FEMALE"""	1959	31	" ""SOUTH MIDLAND"""	3	" ""CASH"""	104	173	B	2772	313	WEATHER CLIMATE	1	1	1
5342:09:00	that's the only thing 0 they broadcast *t*-1	the only thing 0 they broadcast *t*-1	0 they broadcast *t*-1	that	is	the	thing	empty	copula	adjacent	unique	0	they	3pro	2		1152	" ""FEMALE"""	1947	43	" ""SOUTH MIDLAND"""	2	" ""GIFT"""	15	26	A	2060	349	NEWS MEDIA	2	2	1
7752:51:00	"but, there are some others out there that i don't believe 0 *t*-1 deserve the money 0 they're getting *t*-2."	the money 0 they're getting *t*-2	0 they're getting *t*-2	*t*-1	deserve	the	money	nonempty	copula	adjacent	definite	0	they	3pro	2		1071	" ""FEMALE"""	1951	39	" ""SOUTH MIDLAND"""	3	" ""GIFT"""	7	10	A	2078	365	BASEBALL	2	4	2
100975:55	this is something that *t*-1 ought *-2 to be in the schools rather than some of the other stuff 0 they do *t*-3.	the other stuff 0 they do *t*-3	0 they do *t*-3	this	is	the	stuff	empty	copula	adjacent	definite	0	they	3pro	2		1270	" ""MALE"""	1965	25	" ""MIXED"""	3	" ""GIFT"""	17	23	B	3140	334	SOCIAL CHANGE	3	2	2
